Split,Visits,% of visits,Participants,Unique Participants,% of participants,Events,% of events,Non-events,Event prevalence
Training,16593,70.11620536657512,7469,7469,69.99344016493299,3100,70.61503416856492,13493,18.682576990297115
Validation,2348,9.921825480667652,1067,1067,9.999062880704713,418,9.521640091116174,1930,17.802385008517888
Held-out test,4724,19.961969152757238,2135,2135,20.007496954362292,872,19.863325740318906,3852,18.458933107535984
Total,23665,100.0,10671,10671,100.0,4390,100.0,19275,18.550602155081343
